Column1,Column2
the,12417
and,7708
to,7543
a,6370
of,6111
you,6103
i,5918
in,3950
that,3805
it,3406
is,3314
for,2068
be,1899
my,1878
but,1804
was,1651
have,1630
are,1619
me,1587
we,1576
with,1538
not,1487
on,1486
all,1452
your,1413
as,1403
this,1379
they,1325
what,1264
if,1258
he,1203
know,1183
when,1170
one,1101
or,1086
so,1067
there,1053
can,998
will,994
no,988
it's,987
like,969
do,926
don't,912
just,900
at,890
from,771
his,739
up,715
out,711
time,708
had,701
life,698
i'm,695
them,674
who,672
about,671
people,671
an,662
more,646
their,634
you're,619
by,615
never,613
how,612
our,601
would,588
only,588
get,580
now,570
than,553
because,539
see,534
then,520
think,519
were,515
go,512
love,511
world,508
some,503
into,498
him,481
way,477
make,471
want,466
man,466
us,457
things,455
been,453
has,452
could,427
day,423
even,421
say,421
something,419
good,419
she,419
where,398
every,393
here,386
her,384
that's,383
which,369
got,367
any,362
other,355
there's,348
down,348
come,346
thing,339
right,337
always,335
take,324
too,323
those,315
may,313
can't,304
nothing,303
well,303
many,301
feel,301
i've,297
most,296
much,296
through,296
look,294
ever,294
very,293
back,290
over,290
first,286
away,284
going,277
made,277
being,272
little,270
still,268
before,265
why,264
tell,264
find,262
am,262
heart,259
these,258
should,255
i'll,250
let,249
must,248
two,246
need,245
long,242
end,242
really,239
years,239
own,237
again,227
new,218
great,218
after,215
its,211
thought,210
everything,209
around,209
maybe,205
mind,205
eyes,205
same,204
give,204
did,202
said,195
without,194
gonna,193
better,190
didn't,188
someone,188
old,187
once,183
off,183
place,182
sometimes,182
such,181
anything,181
night,180
we're,179
work,178
men,178
power,176
truth,175
myself,173
best,172
each,171
home,169
human,169
they're,169
might,167
remember,166
live,164
mean,162
try,162
he's,162
another,161
while,159
you've,158
bad,156
used,156
done,153
point,153
does,152
words,150
believe,150
wrong,150
light,148
lost,147
run,147
keep,146
friends,146
hard,145
matter,144
yourself,143
between,143
alone,141
i'd,141
knew,140
until,139
you'll,138
yet,137
oh,137
last,136
talk,135
though,132
far,131
part,130
enough,129
left,129
days,129
death,128
change,128
lives,128
become,128
others,127
seen,126
hope,126
doing,125
war,124
big,124
else,124
kind,123
name,123
doesn't,122
god,122
times,122
use,122
dark,121
leave,121
put,120
call,120
hand,120
also,120
understand,119
together,119
won't,118
found,116
real,116
person,116
friend,115
whole,113
lot,112
fear,112
came,110
sure,108
feeling,108
face,107
hold,107
under,106
happy,106
dream,106
free,106
few,105
open,104
since,104
'cause,104
what's,104
show,104
sense,104
trying,104
important,104
makes,104
read,103
today,103
die,102
lose,101
felt,101
heard,100
living,100
inside,100
